Feature,Importance
IsHTTPS,0.5543505672543959
ObfuscationRatio,0.11124097896748895
NoOfSelfRef,0.11096672626363611
NoOfObfuscatedChar,0.06357218982977642
NoOfSubDomain,0.036248074393454115
NoOfOtherSpecialCharsInURL,0.033391725338941934
SpacialCharRatioInURL,0.01418413559292812
NoOfExternalRef,0.013603733104079202
LineOfCode,0.01001584230451191
URLSimilarityIndex,0.007045347203165617
DomainLength,0.006624982953991504
HasPasswordField,0.0056025008647151075
DegitRatioInURL,0.003789843150097766
NoOfDegitsInURL,0.003718840039320656
LetterRatioInURL,0.0031602718431344096
HasSocialNet,0.003006748927838479
NoOfLettersInURL,0.0027970968077784906
URLLength,0.0026369467179133952
NoOfImage,0.0020700158402267785
sign,0.0014364107783924
accounts,0.0012842388107009736
in,0.0012553925735550337
google,0.001174408039427898
NoOfCSS,0.0010042756149244224
NoOfQMarkInURL,0.0007263659140795924
TLD_ro,0.00043357437415106456
LargestLineLength,0.00041648782114060993
TLD_org,0.00033733872618576784
TLDLength,0.0003123335453816756
NoOfAmpersandInURL,0.0003088508433380999
TLD_co.za,0.0002522703217703796
at,0.0002035683078690537
app,0.0001878168404400987
NoOfEqualsInURL,0.00018102509656073342
prices,0.0001547793280733457
TLD_ru,0.00014989823826399402
help,0.00014381040621102485
HasTitle,0.0001415893216453794
TLD_com,0.0001398558876906416
NoOfJS,0.00013586168156654453
TLD_com.br,0.00013181350722229226
TLD_cz,0.00012548885124463548
NoOfEmptyRef,0.00011516705107570634
TLD_dev,0.00011486663738541156
start,8.89910956819743e-05
TLD_jp,8.893038974265487e-05
computers,8.760331764158017e-05
NoOfiFrame,8.395073435571395e-05
HasObfuscation,8.01029504624141e-05
TLD_io,7.841401186982417e-05
TLD_pk,7.209861867100474e-05
TLD_uk,7.125168607891543e-05
NoOfURLRedirect,6.808223132011241e-05
TLD_net,4.640669469454513e-05
TLD_es,4.1587524536680814e-05
TLD_eu,4.0514021641730765e-05
NoOfSelfRedirect,3.9614679592819035e-05
TLD_ar,3.607538803070468e-05
HasCopyrightInfo,2.7787514482774586e-05
HasFavicon,2.766781407214146e-05
IsResponsive,2.1085898061266142e-05
TLD_it,2.077892008770998e-05
HasHiddenFields,1.9825302706789577e-05
art,1.544181390563775e-05
TLD_page,1.4980088477412478e-05
TLD_app,1.0526968903408552e-05
TLD_co,6.574507635528513e-06
TLD_pl,5.28000488606109e-06
TLD_ca,3.735841825174387e-06
HasSubmitButton,2.332662863789576e-06
TLD_in,2.0878995278394935e-06
TLD_me,1.737506238816607e-06
HasExternalFormSubmit,1.0926663500439367e-06
TLD_au,7.354385887922666e-07
TLD_br,6.49891374527247e-07
it,0.0
high,0.0
health,0.0
internet,0.0
ipfs,0.0
has,0.0
hd31,0.0
hd,0.0
information,0.0
ir,0.0
hart,0.0
irrigation,0.0
ini,0.0
homepage,0.0
history,0.0
id,0.0
house,0.0
home,0.0
how,0.0
hockey,0.0
https,0.0
huffpost,0.0
ie,0.0
informasi,0.0
ifkv,0.0
il,0.0
inc,0.0
index,0.0
info,0.0
hotels,0.0
is,0.0
long,0.0
jean,0.0
jobs,0.0
mail,0.0
management,0.0
maps,0.0
marketing,0.0
meta,0.0
metro,0.0
microsoft,0.0
might,0.0
mind,0.0
money,0.0
montreal,0.0
more,0.0
most,0.0
movie,0.0
movies,0.0
music,0.0
my,0.0
myspace,0.0
na,0.0
name,0.0
national,0.0
magazine,0.0
lyrics,0.0
los,0.0
lighting,0.0
la,0.0
landscape,0.0
last,0.0
latest,0.0
le,0.0
league,0.0
learn,0.0
life,0.0
lifestyle,0.0
links,0.0
loop,0.0
listen,0.0
live,0.0
loading,0.0
loans,0.0
local,0.0
log,0.0
login,0.0
login_submit,0.0
haberler,0.0
hari,0.0
fort,0.0
haber,0.0
docsgooglepresentationde2pacx,0.0
doctors,0.0
document,0.0
domain,0.0
dot,0.0
down,0.0
download,0.0
downloads,0.0
dr,0.0
drive,0.0
dropoarappspot,0.0
dsh,0.0
due,0.0
dvd,0.0
eal,0.0
ebay,0.0
edison170,0.0
el,0.0
electronics,0.0
elyrics,0.0
em,0.0
email,0.0
doctor,0.0
district,0.0
encyclopedia,0.0
dispatch,0.0
cốc,0.0
daily,0.0
dakika,0.0
dan,0.0
dance,0.0
dating,0.0
david,0.0
day,0.0
de,0.0
definition,0.0
delayms,0.0
delivery,0.0
design,0.0
details,0.0
dev,0.0
development,0.0
di,0.0
dictionary,0.0
digital,0.0
direct,0.0
discover,0.0
en,0.0
england,0.0
gutenberg,0.0
for,0.0
new,0.0
forum,0.0
found,0.0
france,0.0
free,0.0
from,0.0
full,0.0
gallery,0.0
game,0.0
games,0.0
gclid,0.0
global,0.0
go,0.0
gratisonlineluizahomephp,0.0
graveyard,0.0
green,0.0
group,0.0
guardian,0.0
guide,0.0
guides,0.0
guitar,0.0
force,0.0
followup,0.0
english,0.0
flowname,0.0
entertainment,0.0
entra,0.0
eoffice,0.0
events,0.0
evri,0.0
examecom,0.0
expired,0.0
facebook,0.0
false,0.0
family,0.0
fandango,0.0
fashion,0.0
fb,0.0
fbclid,0.0
fiber,0.0
file,0.0
filename,0.0
film,0.0
films,0.0
flickr,0.0
flowentry,0.0
net,0.0
people,0.0
news,0.0
tickets,0.0
time,0.0
times,0.0
timmins,0.0
tinyurl,0.0
title,0.0
tn,0.0
to,0.0
today,0.0
token,0.0
tokyo,0.0
tomatoes,0.0
top,0.0
torrent,0.0
toto,0.0
tour,0.0
tours,0.0
track,0.0
trade,0.0
trail,0.0
trial,0.0
true,0.0
tim,0.0
this,0.0
shows,0.0
the,0.0
situs,0.0
software,0.0
soluble,0.0
son,0.0
song,0.0
special,0.0
sport,0.0
sports,0.0
sprinkler,0.0
st,0.0
stats,0.0
stock,0.0
stories,0.0
stream,0.0
