,NoOfJS,NoOfCSS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,NoOfImage,HasCopyrightInfo,HasPasswordField,HasHiddenFields,HasSubmitButton,HasSocialNet,HasExternalFormSubmit,NoOfiFrame,HasFavicon,HasTitle,Title,LineOfCode,LargestLineLength,IsHTTPS,NoOfOtherSpecialCharsInURL,NoOfAmpersandInURL,NoOfDegitsInURL,NoOfLettersInURL,NoOfSubDomain,TLD,IsDomainIP,DomainLength,Domain,URLLength,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,URLSimilarityIndex,NoOfEqualsInURL,TLDLength,NoOfQMarkInURL,LetterRatioInURL,DegitRatioInURL,SpacialCharRatioInURL,label,URL
0,3,1,99,31,98,1,0,0,1,1,0,1,1,1,0,0,1,1,Rangefinder - definition of rangefinder by The Free Dictionary,503,4518,1,6,0,0,39,1,com,0,25,www.thefreedictionary.com,45,1,2,0.04,0.61,0,3,0,0.8666666666666667,0.0,0.13333333333333333,1,https://www.thefreedictionary.com/rangefinder
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,10,0,0,59,1,com,0,22,www.lesterslegends.com,69,1,9,0.13,0.63,0,3,0,0.855072463768116,0.0,0.14492753623188406,1,https://www.lesterslegends.com/cooperstown-chronicles-ernie-lombardi/
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,12,0,10,47,1,com,0,14,www.amazon.com,69,1,9,0.13,1.0,0,3,0,0.6811594202898551,0.14492753623188406,0.17391304347826086,1,https://www.amazon.com/Layne-Staley-Angry-Adriana-Rubio/dp/0933638132
3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,1,25,1,com,0,15,www.mp3bear.com,35,0,2,0.06,0.67,1,3,1,0.7142857142857143,0.02857142857142857,0.2571428571428571,1,https://www.mp3bear.com/?q=en+vogue
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,0,32,1,com,0,14,www.spokeo.com,39,1,4,0.1,0.71,0,3,0,0.8205128205128205,0.0,0.1794871794871795,1,https://www.spokeo.com/Ronald+Macdonald
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,1,35,2,com,0,34,www.eppersonfamilyof5.blogspot.com,43,1,5,0.12,0.67,0,3,0,0.813953488372093,0.023255813953488372,0.16279069767441862,1,https://www.eppersonfamilyof5.blogspot.com/
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,7,110,1,19,0,8,64,1,com,0,18,www.musiqology.com,91,1,19,0.21,0.75,0,3,0,0.7032967032967034,0.08791208791208792,0.2087912087912088,1,https://www.musiqology.com/2011/06/17/scoring-africa-and-the-world-a-film-by-tukufu-zuberi/
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,14,0,6,66,2,com,0,33,www.thewizsdailydose.blogspot.com,86,1,16,0.19,0.67,0,3,0,0.7674418604651163,0.06976744186046512,0.16279069767441862,1,https://www.thewizsdailydose.blogspot.com/2011/08/elease-donovan-featured-in-king.html
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,8,0,0,32,2,org,0,20,www.mirror.uncyc.org,40,0,3,0.07,0.8,0,3,0,0.8,0.0,0.2,1,https://www.mirror.uncyc.org/wiki/Rakiah
9,31,1,29,0,2,1,1,0,3,1,0,0,0,0,0,1,1,1,Nizhny Nov. vs Torpedo Vladimir live scores & match info | Soccerway,346,127841,1,19,0,16,73,1,com,0,17,www.soccerway.com,108,1,15,0.14,0.73,0,3,0,0.6759259259259259,0.14814814814814814,0.17592592592592593,1,https://www.soccerway.com/matches/2011/09/06/russia/1-division/fk-nizhnyi-novgorod/torpedo-vladimir/1086852/
